speaker_iso,target_iso,year,count
CAN,POL,1948,1
CAN,YUG,1948,1
CHL,IDN,1948,1
CHL,IND,1948,1
CHL,PAK,1948,1
CHL,PRK,1948,1
CHL,PSE,1948,1
CHL,USA,1948,1
CHN,JPN,1948,1
CHN,PHL,1948,1
CHN,URS,1948,1
COL,FRA,1948,1
COL,LTU,1948,1
COL,PRK,1948,1
COL,URS,1948,1
CSK,CHN,1948,1
CSK,GBR,1948,1
CSK,GRC,1948,1
DNK,LBN,1948,1
DOM,CHL,1948,1
DOM,GRC,1948,1
DOM,IND,1948,1
DOM,URS,1948,1
DOM,ZAF,1948,1
ECU,BEL,1948,1
ECU,CAN,1948,1
ECU,DOM,1948,1
ECU,GBR,1948,1
ECU,LBN,1948,1
ECU,USA,1948,1
EGY,DDR,1948,1
EGY,USA,1948,1
FRA,COG,1948,1
FRA,DDR,1948,1
FRA,ETH,1948,1
FRA,LUX,1948,1
FRA,NLD,1948,1
FRA,POL,1948,1
FRA,PSE,1948,1
GBR,AUS,1948,1
GBR,DDR,1948,1
GBR,IRL,1948,1
GBR,ITA,1948,1
GBR,JOR,1948,1
GBR,TUR,1948,1
GRC,CHN,1948,1
GRC,DJI,1948,1
GRC,GBR,1948,1
GRC,ITA,1948,1
GRC,POL,1948,1
GRC,PSE,1948,1
IND,CSK,1948,1
IND,DEU,1948,1
IND,PHL,1948,1
IND,PSE,1948,1
LBN,AUS,1948,1
LBN,BEL,1948,1
LBN,CAN,1948,1
LBN,CHL,1948,1
LBN,FIN,1948,1
LBN,FRA,1948,1
LBN,IDN,1948,1
LBN,NZL,1948,1
LBN,URS,1948,1
LBR,CHN,1948,1
LBR,DEU,1948,1
LBR,FRA,1948,1
LBR,GRC,1948,1
LBR,IDN,1948,1
LBR,PRK,1948,1
LBR,PSE,1948,1
LBR,ZAF,1948,1
MEX,FRA,1948,1
MEX,USA,1948,1
MMR,CHN,1948,1
MMR,IDN,1948,1
MMR,JPN,1948,1
NLD,AUS,1948,1
NLD,BOL,1948,1
NLD,DEU,1948,1
NLD,GBR,1948,1
NZL,CHL,1948,1
NZL,GRC,1948,1
NZL,IDN,1948,1
NZL,USA,1948,1
PAK,LBN,1948,1
PAK,NLD,1948,1
PAK,SEN,1948,1
PAK,ZAF,1948,1
PER,CHL,1948,1
PER,FRA,1948,1
PER,PAN,1948,1
PER,PSE,1948,1
PHL,CSK,1948,1
PHL,DEU,1948,1
PHL,EGY,1948,1
PHL,IRN,1948,1
PHL,USA,1948,1
PHL,ZAF,1948,1
POL,ARE,1948,1
POL,FRA,1948,1
POL,IDN,1948,1
POL,JPN,1948,1
RUS,AUS,1948,1
RUS,CSK,1948,1
RUS,FIN,1948,1
RUS,LUX,1948,1
RUS,TUR,1948,1
RUS,ZAF,1948,1
SLV,GRC,1948,1
SLV,PRK,1948,1
SLV,USA,1948,1
SYR,DEU,1948,1
SYR,PRK,1948,1
SYR,ZAF,1948,1
TUR,GRC,1948,1
UKR,BEL,1948,1
UKR,FRA,1948,1
UKR,IDN,1948,1
UKR,IRQ,1948,1
UKR,ITA,1948,1
UKR,LUX,1948,1
UKR,PSE,1948,1
UKR,TUR,1948,1
URY,CHN,1948,1
USA,AUT,1948,1
USA,DEU,1948,1
USA,IND,1948,1
USA,ISR,1948,1
USA,JOR,1948,1
USA,JPN,1948,1
USA,LKA,1948,1
USA,NLD,1948,1
USA,PAK,1948,1
VEN,CHN,1948,1
VEN,ESP,1948,1
VEN,PSE,1948,1
YUG,ALB,1948,1
YUG,BGR,1948,1
YUG,BLR,1948,1
YUG,CHN,1948,1
YUG,CSK,1948,1
YUG,ISR,1948,1
YUG,JPN,1948,1
YUG,UKR,1948,1
POL,DEU,1949,48
UKR,URS,1949,40
RUS,USA,1949,35
GBR,URS,1949,32
POL,URS,1949,31
RUS,URS,1949,29
PAK,IND,1949,25
UKR,USA,1949,22
RUS,GBR,1949,21
IRQ,PSE,1949,18
POL,USA,1949,18
UKR,YUG,1949,17
BLR,USA,1949,13
GBR,CHN,1949,12
GBR,GRC,1949,12
FRA,DEU,1949,11
YUG,URS,1949,11
CSK,URS,1949,10
SYR,USA,1949,10
CHN,BLR,1949,9
POL,GBR,1949,9
CAN,URS,1949,8
CHN,URS,1949,8
SYR,DEU,1949,8
GBR,YUG,1949,7
IRQ,ISR,1949,7
UKR,GBR,1949,7
BEL,USA,1949,6
CHL,URS,1949,6
CHN,JPN,1949,6
CSK,USA,1949,6
DOM,GRC,1949,6
IRQ,ARE,1949,6
LBN,ISR,1949,6
LBN,PSE,1949,6
LBN,USA,1949,6
SLV,USA,1949,6
SYR,ARE,1949,6
ARG,USA,1949,5
CHL,USA,1949,5
CSK,PRK,1949,5
EGY,IDN,1949,5
GBR,DEU,1949,5
GBR,USA,1949,5
LBN,ARE,1949,5
NLD,IDN,1949,5
SYR,DDR,1949,5
UKR,DEU,1949,5
UKR,GRC,1949,5
BLR,URS,1949,4
CHL,CHN,1949,4
CHN,GRC,1949,4
CHN,USA,1949,4
EGY,LBY,1949,4
GBR,CSK,1949,4
GBR,IND,1949,4
ISR,ARE,1949,4
PAK,IDN,1949,4
POL,FRA,1949,4
USA,GRC,1949,4
USA,PRK,1949,4
YUG,USA,1949,4
BLR,CHL,1949,3
CHL,GBR,1949,3
CHN,RUS,1949,3
CSK,GRC,1949,3
CSK,IDN,1949,3
EGY,ARE,1949,3
EGY,PSE,1949,3
FRA,AUT,1949,3
FRA,ITA,1949,3
FRA,PSE,1949,3
GBR,PAK,1949,3
GRC,ALB,1949,3
IND,URS,1949,3
IND,ZAF,1949,3
ISR,PSE,1949,3
LBN,GRC,1949,3
LBN,IDN,1949,3
NZL,USA,1949,3
PAK,PSE,1949,3
POL,JPN,1949,3
SYR,URS,1949,3
USA,BGR,1949,3
USA,HUN,1949,3
USA,ROU,1949,3
USA,URS,1949,3
ZAF,IND,1949,3
ARG,CHN,1949,2
ARG,FRA,1949,2
ARG,GBR,1949,2
ARG,URS,1949,2
BLR,GBR,1949,2
CAN,IDN,1949,2
CAN,PSE,1949,2
CHL,IND,1949,2
CHL,YUG,1949,2
CHN,CAN,1949,2
CHN,FRA,1949,2
CHN,ITA,1949,2
CSK,BGR,1949,2
CSK,GBR,1949,2
CSK,PSE,1949,2
CSK,ZAF,1949,2
DOM,PSE,1949,2
ECU,USA,1949,2
ETH,BRA,1949,2
FRA,ARE,1949,2
FRA,ISR,1949,2
GBR,ERI,1949,2
GBR,ETH,1949,2
GBR,FRA,1949,2
GBR,JPN,1949,2
GBR,LKA,1949,2
IND,IDN,1949,2
IND,PAK,1949,2
IRQ,JOR,1949,2
IRQ,LBY,1949,2
IRQ,URS,1949,2
ISR,FRA,1949,2
LBN,DEU,1949,2
LBR,IDN,1949,2
MEX,AUT,1949,2
MEX,USA,1949,2
NLD,BEL,1949,2
NLD,LUX,1949,2
NLD,PSE,1949,2
NLD,USA,1949,2
NZL,BRA,1949,2
PAK,CHN,1949,2
PAK,ISR,1949,2
PER,USA,1949,2
POL,CSK,1949,2
POL,HUN,1949,2
POL,ROU,1949,2
RUS,CHN,1949,2
RUS,DEU,1949,2
RUS,FRA,1949,2
SLV,BGR,1949,2
SLV,HUN,1949,2
SLV,PHL,1949,2
SLV,PRK,1949,2
UKR,BGR,1949,2
UKR,CHN,1949,2
UKR,HUN,1949,2
USA,PSE,1949,2
YUG,HUN,1949,2
BEL,BRA,1949,1
BEL,CHN,1949,1
BEL,DEU,1949,1
BEL,GRC,1949,1
BLR,BDI,1949,1
BLR,COG,1949,1
BLR,CSK,1949,1
BLR,DEU,1949,1
BLR,RUS,1949,1
BRA,USA,1949,1
CAN,USA,1949,1
CHL,BOL,1949,1
CHL,BRA,1949,1
CHL,DEU,1949,1
CHL,ERI,1949,1
CHL,GRC,1949,1
CHL,IDN,1949,1
CHL,LBY,1949,1
CHL,MLI,1949,1
CHL,PRK,1949,1
CHL,PSE,1949,1
CHN,DEU,1949,1
CHN,IRN,1949,1
CHN,PRK,1949,1
CHN,TUR,1949,1
CSK,AUS,1949,1
CSK,IND,1949,1
CSK,MEX,1949,1
CSK,ROU,1949,1
CUB,CHN,1949,1
CUB,MEX,1949,1
DOM,IDN,1949,1
DOM,PRK,1949,1
EGY,AUT,1949,1
EGY,DEU,1949,1
EGY,JPN,1949,1
EGY,NLD,1949,1
EGY,PRK,1949,1
ETH,GRC,1949,1
ETH,IDN,1949,1
ETH,ITA,1949,1
ETH,PRK,1949,1
ETH,PSE,1949,1
ETH,SYR,1949,1
ETH,USA,1949,1
FRA,GRC,1949,1
FRA,JPN,1949,1
FRA,MEX,1949,1
FRA,USA,1949,1
GBR,ALB,1949,1
GBR,AUT,1949,1
GBR,BGR,1949,1
GBR,HUN,1949,1
GBR,MLI,1949,1
GBR,MMR,1949,1
GBR,POL,1949,1
GBR,PRK,1949,1
GBR,ROU,1949,1
GBR,TUR,1949,1
GRC,BGR,1949,1
GRC,USA,1949,1
IND,AUS,1949,1
IND,CHN,1949,1
IND,FRA,1949,1
IND,GBR,1949,1
IND,IRL,1949,1
IND,ITA,1949,1
IND,LKA,1949,1
IND,NPL,1949,1
IND,USA,1949,1
IRQ,USA,1949,1
ISR,GBR,1949,1
ISR,LBN,1949,1
ISR,NLD,1949,1
ISR,USA,1949,1
LBN,BGR,1949,1
LBN,DDR,1949,1
LBN,LBY,1949,1
LBN,ROU,1949,1
LBR,DDR,1949,1
LBR,DEU,1949,1
LBR,NLD,1949,1
LBR,USA,1949,1
MEX,DEU,1949,1
MEX,FRA,1949,1
MEX,IDN,1949,1
MEX,PSE,1949,1
NLD,CHN,1949,1
NLD,ISR,1949,1
PAK,CSK,1949,1
PAK,GRC,1949,1
PAK,ITA,1949,1
PAK,MEX,1949,1
PAK,NLD,1949,1
