speaker_iso,target_iso,year,session,count
POL,DEU,1948,03,27
POL,CHN,1948,03,2
POL,JPN,1948,03,1
POL,IDN,1948,03,1
POL,GRC,1948,03,4
POL,ESP,1948,03,5
POL,PSE,1948,03,3
POL,ISR,1948,03,2
POL,ARE,1948,03,1
RUS,USA,1948,03,68
RUS,URS,1948,03,43
RUS,PSE,1948,03,7
RUS,IDN,1948,03,5
RUS,ZAF,1948,03,1
RUS,PRK,1948,03,8
RUS,KOR,1948,03,2
RUS,GRC,1948,03,2
RUS,NLD,1948,03,2
RUS,BEL,1948,03,2
RUS,AUS,1948,03,1
RUS,ARE,1948,03,2
RUS,GBR,1948,03,13
RUS,FRA,1948,03,6
RUS,DEU,1948,03,11
RUS,JPN,1948,03,3
RUS,ITA,1948,03,2
RUS,FIN,1948,03,1
RUS,LUX,1948,03,1
RUS,TUR,1948,03,1
RUS,CHN,1948,03,2
RUS,CSK,1948,03,1
SLV,GRC,1948,03,1
SLV,PRK,1948,03,1
SLV,PSE,1948,03,5
SLV,PRT,1948,03,4
SLV,IRL,1948,03,3
SLV,JOR,1948,03,3
SLV,ITA,1948,03,2
SLV,AUT,1948,03,2
SLV,USA,1948,03,1
SYR,USA,1948,03,7
SYR,ZAF,1948,03,1
SYR,PSE,1948,03,2
SYR,URS,1948,03,2
SYR,PRK,1948,03,1
SYR,DEU,1948,03,1
TUR,GRC,1948,03,1
UKR,URS,1948,03,33
UKR,USA,1948,03,25
UKR,GBR,1948,03,7
UKR,LUX,1948,03,1
UKR,FRA,1948,03,1
UKR,DEU,1948,03,6
UKR,GRC,1948,03,2
UKR,TUR,1948,03,1
UKR,IRQ,1948,03,1
UKR,BEL,1948,03,1
UKR,IDN,1948,03,1
UKR,PSE,1948,03,1
UKR,ITA,1948,03,1
URY,CHN,1948,03,1
URY,USA,1948,03,3
USA,FRA,1948,03,2
USA,JPN,1948,03,1
USA,DEU,1948,03,1
USA,AUT,1948,03,1
USA,PSE,1948,03,4
USA,JOR,1948,03,1
USA,ISR,1948,03,1
USA,PRK,1948,03,2
USA,GRC,1948,03,2
USA,IDN,1948,03,2
USA,NLD,1948,03,1
USA,IND,1948,03,1
USA,PAK,1948,03,1
USA,LKA,1948,03,1
VEN,ITA,1948,03,2
VEN,USA,1948,03,3
VEN,ESP,1948,03,1
VEN,PSE,1948,03,1
VEN,CHN,1948,03,1
YUG,CSK,1948,03,1
YUG,URS,1948,03,21
YUG,GRC,1948,03,31
YUG,USA,1948,03,23
YUG,GBR,1948,03,4
YUG,ALB,1948,03,1
YUG,BGR,1948,03,1
YUG,DEU,1948,03,3
YUG,JPN,1948,03,1
YUG,PRK,1948,03,2
YUG,ITA,1948,03,3
YUG,UKR,1948,03,1
YUG,CHN,1948,03,1
YUG,PSE,1948,03,5
YUG,ISR,1948,03,1
YUG,BLR,1948,03,1
ZAF,FRA,1948,03,2
ARG,USA,1949,04,5
ARG,CHN,1949,04,2
ARG,FRA,1949,04,2
ARG,URS,1949,04,2
ARG,GBR,1949,04,2
BEL,USA,1949,04,6
BEL,CHN,1949,04,1
BEL,GRC,1949,04,1
BEL,BRA,1949,04,1
BEL,DEU,1949,04,1
BLR,CSK,1949,04,1
BLR,USA,1949,04,13
BLR,GBR,1949,04,2
BLR,DEU,1949,04,1
BLR,URS,1949,04,4
BLR,RUS,1949,04,1
BLR,COG,1949,04,1
BLR,BDI,1949,04,1
BLR,CHL,1949,04,3
BRA,USA,1949,04,1
CAN,PSE,1949,04,2
CAN,IDN,1949,04,2
CAN,URS,1949,04,8
CAN,USA,1949,04,1
CHL,DEU,1949,04,1
CHL,IND,1949,04,2
CHL,CHN,1949,04,4
CHL,URS,1949,04,6
CHL,YUG,1949,04,2
CHL,GBR,1949,04,3
CHL,USA,1949,04,5
CHL,PSE,1949,04,1
CHL,IDN,1949,04,1
CHL,PRK,1949,04,1
CHL,GRC,1949,04,1
CHL,LBY,1949,04,1
CHL,ERI,1949,04,1
CHL,MLI,1949,04,1
CHL,BRA,1949,04,1
CHL,BOL,1949,04,1
CHN,GRC,1949,04,4
CHN,USA,1949,04,4
CHN,ITA,1949,04,2
CHN,FRA,1949,04,2
CHN,DEU,1949,04,1
CHN,IRN,1949,04,1
CHN,TUR,1949,04,1
CHN,BLR,1949,04,9
CHN,RUS,1949,04,3
CHN,PRK,1949,04,1
CHN,JPN,1949,04,6
CHN,URS,1949,04,8
CHN,CAN,1949,04,2
CSK,GRC,1949,04,3
CSK,PRK,1949,04,5
CSK,USA,1949,04,6
CSK,URS,1949,04,10
CSK,PSE,1949,04,2
CSK,GBR,1949,04,2
CSK,IDN,1949,04,3
CSK,ZAF,1949,04,2
CSK,BGR,1949,04,2
CSK,AUS,1949,04,1
CSK,ROU,1949,04,1
CSK,MEX,1949,04,1
CSK,IND,1949,04,1
CUB,CHN,1949,04,1
CUB,MEX,1949,04,1
DOM,GRC,1949,04,6
DOM,IDN,1949,04,1
DOM,PRK,1949,04,1
DOM,PSE,1949,04,2
ECU,USA,1949,04,2
EGY,DEU,1949,04,1
EGY,AUT,1949,04,1
EGY,JPN,1949,04,1
EGY,PRK,1949,04,1
EGY,IDN,1949,04,5
EGY,PSE,1949,04,3
EGY,ARE,1949,04,3
EGY,LBY,1949,04,4
EGY,NLD,1949,04,1
ETH,BRA,1949,04,2
ETH,PSE,1949,04,1
ETH,IDN,1949,04,1
ETH,GRC,1949,04,1
ETH,PRK,1949,04,1
ETH,SYR,1949,04,1
ETH,ITA,1949,04,1
ETH,USA,1949,04,1
FRA,GRC,1949,04,1
